order_id,product_id,order_time,qty,product_name,price,_merge,unit_cost,cost_merge
OD2002,CF03,2024-01-01 14:12:00,2.0,Bac  Xiu,35000.0,both,,both
OD2003,CF03,2024-01-01 06:16:00,2.0,Bac  Xiu,35000.0,both,,both
OD2004,CF02,2024-01-01 04:55:00,1.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2006,CF02,2024-01-01 06:56:00,3.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2009,CF06,,1.0,Matcha Latte,35000.0,both,9000.0,both
OD2011,CF02,,2.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2012,CF02,,3.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2015,CF06,2024-01-01 10:31:00,3.0,Matcha Latte,35000.0,both,9000.0,both
OD2016,CF05,,3.0,Sinh To Xoai,30.0,both,15000.0,both
OD2017,CF04,2024-01-01 06:56:00,3.0,Tra Dao,45000.0,both,9000.0,both
OD2018,CF04,,3.0,Tra Dao,45000.0,both,9000.0,both
OD2019,CF02,2024-01-01 08:54:00,3.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2021,CF05,2024-01-01 17:02:00,3.0,Sinh To Xoai,30.0,both,15000.0,both
OD2022,CF04,2024-01-01 16:44:00,2.0,Tra Dao,45000.0,both,9000.0,both
OD2023,CF06,,3.0,Matcha Latte,35000.0,both,9000.0,both
OD2025,CF01,,1.0,Ca Phe Den,45000.0,both,8000.0,both
OD2026,CF04,,1.0,Tra Dao,45000.0,both,9000.0,both
OD2028,CF04,2024-01-01 02:03:00,3.0,Tra Dao,45000.0,both,9000.0,both
OD2029,CF04,2024-01-01 00:13:00,1.0,Tra Dao,45000.0,both,9000.0,both
OD2030,CF01,2024-01-01 09:22:00,1.0,Ca Phe Den,45000.0,both,8000.0,both
OD2031,CF05,2024-01-01 23:00:00,2.0,Sinh To Xoai,30.0,both,15000.0,both
OD2032,CF01,,2.0,Ca Phe Den,45000.0,both,8000.0,both
OD2033,CF02,2024-01-01 17:58:00,3.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2035,CF04,,3.0,Tra Dao,45000.0,both,9000.0,both
OD2036,CF06,,1.0,Matcha Latte,35000.0,both,9000.0,both
OD2037,CF04,2024-01-01 12:52:00,1.0,Tra Dao,45000.0,both,9000.0,both
OD2038,CF06,,1.0,Matcha Latte,35000.0,both,9000.0,both
OD2040,CF01,,2.0,Ca Phe Den,45000.0,both,8000.0,both
OD2041,CF06,2024-01-01 16:13:00,1.0,Matcha Latte,35000.0,both,9000.0,both
OD2042,CF01,,2.0,Ca Phe Den,45000.0,both,8000.0,both
OD2043,CF03,,3.0,Bac  Xiu,35000.0,both,,both
OD2048,CF02,2024-01-01 11:37:00,3.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2051,CF02,2024-01-01 19:59:00,1.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2052,CF05,,1.0,Sinh To Xoai,30.0,both,15000.0,both
OD2053,CF03,,3.0,Bac  Xiu,35000.0,both,,both
OD2054,CF04,,1.0,Tra Dao,45000.0,both,9000.0,both
OD2055,CF01,2024-01-01 15:10:00,3.0,Ca Phe Den,45000.0,both,8000.0,both
OD2057,CF04,2024-01-01 18:56:00,1.0,Tra Dao,45000.0,both,9000.0,both
OD2059,CF05,,3.0,Sinh To Xoai,30.0,both,15000.0,both
OD2061,CF05,2024-01-01 23:23:00,2.0,Sinh To Xoai,30.0,both,15000.0,both
OD2063,CF02,2024-01-01 05:42:00,3.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2064,CF04,,3.0,Tra Dao,45000.0,both,9000.0,both
OD2066,CF05,,2.0,Sinh To Xoai,30.0,both,15000.0,both
OD2069,CF06,2024-01-01 04:38:00,3.0,Matcha Latte,35000.0,both,9000.0,both
OD2070,CF05,2024-01-01 06:51:00,3.0,Sinh To Xoai,30.0,both,15000.0,both
OD2071,CF02,2024-01-01 10:53:00,3.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2072,CF06,,3.0,Matcha Latte,35000.0,both,9000.0,both
OD2073,CF04,2024-01-01 13:24:00,1.0,Tra Dao,45000.0,both,9000.0,both
OD2074,CF05,,3.0,Sinh To Xoai,30.0,both,15000.0,both
OD2076,CF03,2024-01-01 02:21:00,3.0,Bac  Xiu,35000.0,both,,both
OD2077,CF04,2024-01-01 21:37:00,2.0,Tra Dao,45000.0,both,9000.0,both
OD2081,CF01,,1.0,Ca Phe Den,45000.0,both,8000.0,both
OD2082,CF02,2024-01-01 22:41:00,2.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2083,CF06,2024-01-01 01:30:00,3.0,Matcha Latte,35000.0,both,9000.0,both
OD2084,CF04,,3.0,Tra Dao,45000.0,both,9000.0,both
OD2086,CF03,,3.0,Bac  Xiu,35000.0,both,,both
OD2088,CF01,2024-01-01 04:50:00,3.0,Ca Phe Den,45000.0,both,8000.0,both
OD2089,CF03,2024-01-01 07:03:00,3.0,Bac  Xiu,35000.0,both,,both
OD2090,CF04,2024-01-01 14:57:00,3.0,Tra Dao,45000.0,both,9000.0,both
OD2091,CF01,,1.0,Ca Phe Den,45000.0,both,8000.0,both
OD2092,CF03,,3.0,Bac  Xiu,35000.0,both,,both
OD2093,CF02,,3.0,Ca Phe Sua,35000.0,both,15000.0,both
OD2097,CF04,,2.0,Tra Dao,45000.0,both,9000.0,both
